Duração Entrevista;Data;Idioma;Idade;Genero;Dem_edu;Quantidade Educação Escolar;Tempo Trabalho;Pais;Dem_Expat;Cidade;Status Relacionamento;Filhos ou Dependentes;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;AD_gain;AD_loss;AD_check;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1795;17/04/2020 12:34;PT-BR;22;Male;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio De Janeiro;Single;0;Yes;Isolated;2;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10238;18/04/2020 13:59;PT-BR;21;Female;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;4;1;Program B;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13213;17/04/2020 12:20;PT-BR;44;Female;College degree, bachelor, master;PhD/Doctorate;Student;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;2;1;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
615;17/04/2020 05:44;PT-BR;36;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Paraíba;Married/cohabiting;1;Yes;Isolated;3;1;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1938;17/04/2020 03:53;PT-BR;59;Male;College degree, bachelor, master;Up to 12 years of school;Part time employed;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Isolated;1;0;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1707;16/04/2020 19:12;PT-BR;24;Female;College degree, bachelor, master;Some College or equivalent;Student;Brazil;no;Rio Grande do Sul;Single;0;Yes;Life carries on with minor changes;5;1;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
823;16/04/2020 15:43;PT-BR;26;Female;PhD/Doctorate;Up to 12 years of school;Student;Brazil;no;RS;Married/cohabiting;0;Yes;Isolated;1;0;Program B;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1118;16/04/2020 13:54;PT-BR;18;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;5;1;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1788;17/04/2020 13:10;SME;25;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Not employed;Brazil;no;NA;Single;0;Yes;Life carries on with minor changes;2;1;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554;16/04/2020 11:52;PT;38;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;NA;Married/cohabiting;2;Yes;Isolated;1;2;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7525;16/04/2020 13:23;PT-BR;30;Female;PhD/Doctorate;Up to 9 years of school;Retired;Brazil;no;Sao Paulo;Married/cohabiting;0;Yes;Isolated;1;0;Program B;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1179;17/04/2020 11:36;PT-BR;20;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;4;1;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1507;16/04/2020 10:58;PT-BR;26;Male;College degree, bachelor, master;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;1;No;Isolated;1;0;Program B;NA;Not sure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
828;16/04/2020 10:12;PT-BR;28;Female;College degree, bachelor, master;Up to 12 years of school;Student;Brazil;no;Amazonas;Single;3;Yes;Isolated;3;0;Program B;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1685;16/04/2020 08:41;PT-BR;31;Female;NA;College degree;Student;Brazil;yes;Sao Paulo;Single;3;Yes;Life carries on with minor changes;2;0;Program B;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
830;16/04/2020 08:20;PT-BR;25;Female;College degree, bachelor, master;Up to 9 years of school;Not employed;Brazil;no;Goiás;Single;0;Yes;Isolated;1;0;NA;Program C;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1555;16/04/2020 07:53;PT-BR;26;Female;PhD/Doctorate;College degree;Student;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;2;0;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
809;16/04/2020 06:26;PT-BR;26;Female;PhD/Doctorate;Up to 12 years of school;Student;Brazil;no;São Paulo;Single;0;Yes;Isolated;3;0;Program B;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
802;17/04/2020 04:29;PT-BR;28;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;yes;SP;Single;0;Yes;Isolated;1;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;16/04/2020 21:24;PT-BR;32;Male;PhD/Doctorate;College degree;Not employed;Brazil;no;Sp;Single;0;Yes;Isolated;0;0;Program B;NA;Not sure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
928;15/04/2020 20:48;PT-BR;24;Female;College degree, bachelor, master;Up to 6 years of school;Part time employed;Brazil;no;Rio Grande do Sul;Married/cohabiting;0;Yes;Isolated;1;0;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;16/04/2020 20:22;PT-BR;23;Male;College degree, bachelor, master;College degree;Student;Brazil;no;Maranhão;Single;0;Yes;Isolated;3;0;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
875;16/04/2020 19:56;PT-BR;36;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Not employed;Brazil;no;Sao Paulo;Married/cohabiting;1;No;Isolated;1;1;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1467;15/04/2020 08:37;PT-BR;57;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;no;Minas Gerais;Single;1;Yes;Life carries on with minor changes;4;0;NA;Program C;Not sure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
903;15/04/2020 06:22;PT-BR;22;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Full time employed;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;2;0;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;16/04/2020 05:07;PT-BR;23;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;Program A;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3010;14/04/2020 21:18;PT-BR;60;Female;College degree, bachelor, master;College degree;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Life carries on with minor changes;2;0;Program A;NA;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
964;15/04/2020 19:36;PT-BR;24;Male;College degree, bachelor, master;College degree;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;3;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1284;14/04/2020 19:20;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1299;14/04/2020 19:04;PT-BR;23;Female;College degree, bachelor, master;College degree;Student;Brazil;no;RJ;Single;0;Yes;Isolated;3;0;NA;Program D;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3238;14/04/2020 19:07;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;SANTA CATARINA;Married/cohabiting;0;Yes;Isolated;1;1;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1090;14/04/2020 18:31;PT-BR;24;Female;College degree, bachelor, master;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;Program A;NA;Not sure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;14/04/2020 18:37;PT-BR;25;Male;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA;Program C;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1180;14/04/2020 18:20;PT-BR;23;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1075;14/04/2020 18:05;PT-BR;41;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;DF;Married/cohabiting;2;Yes;Isolated;1;2;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
817;14/04/2020 18:00;PT-BR;21;Female;Some College, short continuing education or equivalent;PhD/Doctorate;Student;Brazil;no;NA;Single;0;Yes;Isolated;3;2;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1125;15/04/2020 17:32;PT-BR;23;Female;PhD/Doctorate;Up to 6 years of school;Student;Brazil;no;Ceara;Single;4;Yes;Isolated;4;1;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1358;14/04/2020 17:32;PT-BR;24;Female;College degree, bachelor, master;PhD/Doctorate;Student;Brazil;no;São Paulo;Single;0;Yes;Isolated;1;0;NA;Program C;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1025;15/04/2020 17:24;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;4;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1242;14/04/2020 17:24;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;5;0;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
894;14/04/2020 17:15;PT-BR;25;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1078;14/04/2020 17:16;PT-BR;22;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1069;14/04/2020 17:09;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;1;0;Program A;NA;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619;14/04/2020 17:02;PT-BR;23;Male;Some College, short continuing education or equivalent;Some College or equivalent;Part time employed;Brazil;no;Rio de janeiro;Single;0;Yes;Isolated;3;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2590;14/04/2020 06:47;PT-BR;24;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Student;Brazil;no;Rio Grande do Sul;Single;1;Yes;Isolated;3;0;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
924;13/04/2020 22:43;PT-BR;33;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;No;Isolated;3;1;Program B;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
828;13/04/2020 21:28;PT-BR;20;Female;Some College, short continuing education or equivalent;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Single;1;Yes;Isolated;3;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1031;14/04/2020 19:00;PT-BR;67;Male;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Rj;Married/cohabiting;2;Yes;Life carries on with minor changes;2;0;NA;Program C;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1328;13/04/2020 17:48;PT-BR;22;Female;Some College, short continuing education or equivalent;Some College or equivalent;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;1;0;NA;Program C;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2968;14/04/2020 18:06;PT-BR;52;Female;College degree, bachelor, master;Up to 9 years of school;Part time employed;Brazil;no;S/C;Married/cohabiting;2;Yes;Life carries on with minor changes;5;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
396;14/04/2020 16:38;PT-BR;22;Female;College degree, bachelor, master;Some College or equivalent;Not employed;Brazil;no;Mato Grosso do Sul;Single;0;Yes;Life carries on with minor changes;1;0;Program B;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949;14/04/2020 15:30;PT-BR;70;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;NA;Rio de Janeiro;Married/cohabiting;1;NA;Isolated;1;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
648;14/04/2020 14:51;PT-BR;83;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;no;NA;Single;1;Yes;Isolated;2;0;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1098;13/04/2020 14:25;PT-BR;51;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;Program B;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
630;14/04/2020 13:29;EN;45;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;yes;Parana;Married/cohabiting;2;Not sure;Isolated;1;2;NA;Program C;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
657;14/04/2020 12:54;PT-BR;60;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;RJ;Married/cohabiting;0;Yes;Isolated;1;0;NA;Program D;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
463;14/04/2020 12:13;PT-BR;24;Female;Some College, short continuing education or equivalent;College degree;Self-employed;Brazil;no;PB;Single;0;Yes;Isolated;3;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
795;13/04/2020 09:52;PT-BR;24;Female;College degree, bachelor, master;College degree;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;Program A;NA;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2195;14/04/2020 10:13;PT-BR;59;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Not employed;Brazil;no;Rj;Married/cohabiting;3;Yes;Life carries on with minor changes;3;19;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1189;14/04/2020 09:25;PT-BR;63;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;NA;No;Isolated in medical facility of similar location;0;NA;Program A;NA;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
