PARTICIPANTES;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;AD_gain;AD_loss;AD_check;Scale_PSS10_UCLA_1;Scale_PSS10_UCLA_2;Scale_PSS10_UCLA_3;Scale_PSS10_UCLA_4;Scale_PSS10_UCLA_5;Scale_PSS10_UCLA_6;Scale_PSS10_UCLA_7;Scale_PSS10_UCLA_8;Scale_PSS10_UCLA_9;Scale_PSS10_UCLA_10;Scale_SLON_1;Scale_SLON_2;Scale_SLON_3;OECD_people_1;OECD_people_2;OECD_insititutions_1;OECD_insititutions_2;OECD_insititutions_3;OECD_insititutions_4;OECD_insititutions_5;OECD_insititutions_6;Corona_concerns_1;Corona_concerns_2;Corona_concerns_3;Corona_concerns_4;Corona_concerns_5;Trust_countrymeasure;Compliance_1;Compliance_2;Compliance_3;Compliance_4;Compliance_5;Compliance_6;born_92;experience_war;experience_war_TXT;war_injury;loss_during_war;time_spent_in_war;time_spent_in_war_TXT;Scale_UCLA_TRI_1;Scale_UCLA_TRI_2;Scale_UCLA_TRI_3;Scale_UCLA_TRI_4;PS_PTSD_1;PS_PTSD_2;PS_PTSD_3;PS_PTSD_4;PS_PTSD_5;BFF_15_1;BFF_15_2;BFF_15_3;BFF_15_4;BFF_15_5;BFF_15_6;BFF_15_7;BFF_15_8;BFF_15_9;BFF_15_10;BFF_15_11;BFF_15_12;BFF_15_13;BFF_15_14;BFF_15_15;Expl_Distress_1;Expl_Distress_2;Expl_Distress_3;Expl_Distress_4;Expl_Distress_5;Expl_Distress_6;Expl_Distress_7;Expl_Distress_8;Expl_Distress_9;Expl_Distress_10;Expl_Distress_11;Expl_Distress_12;Expl_Distress_13;Expl_Distress_14;Expl_Distress_15;Expl_Distress_16;Expl_Distress_17;Expl_Distress_18;Expl_Distress_19;Expl_Distress_20;Expl_Distress_21;Expl_Distress_22;Expl_Distress_23;Expl_Distress_24;Expl_Distress_txt;SPS_1;SPS_2;SPS_3;SPS_4;SPS_5;SPS_6;SPS_7;SPS_8;SPS_9;SPS_10;Expl_Coping_1;Expl_Coping_2;Expl_Coping_3;Expl_Coping_4;Expl_Coping_5;Expl_Coping_6;Expl_Coping_7;Expl_Coping_8;Expl_Coping_9;Expl_Coping_10;Expl_Coping_11;Expl_Coping_12;Expl_Coping_13;Expl_Coping_14;Expl_Coping_15;Expl_Coping_16;Expl_coping_txt;Expl_media_1;Expl_media_2;Expl_media_3;Expl_media_4;Expl_media_5;Expl_media_6;Final_open;PSS10_avg;SLON3_avg;neu;ext;ope;agr;con;SPS_avg;Scale_UCLA_TRI_avg
180;19773;1180;14/04/2020 18:20;PT-BR;23;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;Program A;NA;No;3;2;3;4;3;4;3;2;3;3;3;2;4;6;7;3;2;6;7;10;2;3;5;5;5;5;2;6;6;6;4;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;6;4;6;4;5;4;5;6;2;4;6;4;6;5;1;5;99;6;2;6;99;2;99;4;4;6;5;6;2;6;4;4;4;5;2;1;6;1;NA;6;6;5;5;6;5;6;6;5;6;4;6;6;6;6;5;5;5;6;5;3;4;5;6;6;6;NA;5;5;5;6;6;2;NA;3;3;466.666.666.666.667;4;5;5;333.333.333.333.333;5.6;NA
181;19774;1075;14/04/2020 18:05;PT-BR;41;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;DF;Married/cohabiting;2;Yes;Isolated;1;2;NA;Program D;No;3;3;4;2;2;4;3;3;4;3;1;1;2;6;9;0;5;5;4;8;5;6;6;6;6;6;5;5;6;6;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;1;4;2;6;1;3;1;4;3;4;5;5;6;3;4;5;1;5;4;1;1;4;5;2;6;6;2;1;1;4;1;2;1;6;6;5;1;NA;6;6;6;6;6;5;6;6;5;6;6;6;6;1;5;3;1;1;6;2;4;6;4;6;6;6;NA;5;3;1;2;4;1;NA;3.5;133.333.333.333.333;533.333.333.333.333;233.333.333.333.333;166.666.666.666.667;333.333.333.333.333;433.333.333.333.333;5.8;NA
182;19775;817;14/04/2020 18:00;PT-BR;21;Female;Some College, short continuing education or equivalent;PhD/Doctorate;Student;Brazil;no;NA;Single;0;Yes;Isolated;3;2;Program A;NA;No;2;3;5;3;2;4;3;2;4;5;4;4;5;5;7;2;3;5;7;9;6;4;5;4;6;6;5;5;5;5;3;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;3;5;5;3;4;5;5;3;4;5;5;5;4;3;5;99;2;4;4;5;2;2;5;5;6;6;5;2;4;99;6;6;2;2;3;6;2;NA;5;5;5;5;5;5;5;5;5;5;2;4;5;3;5;5;2;2;5;4;4;4;5;5;5;4;NA;5;5;5;5;3;4;NA;3.7;433.333.333.333.333;5;466.666.666.666.667;466.666.666.666.667;433.333.333.333.333;366.666.666.666.667;5;NA
183;19793;1125;15/04/2020 17:32;PT-BR;23;Female;PhD/Doctorate;Up to 6 years of school;Student;Brazil;no;Ceara;Single;4;Yes;Isolated;4;1;NA;Program D;No;4;4;3;2;3;4;3;2;4;4;3;4;4;7;8;0;2;5;7;9;0;6;6;6;6;6;2;5;5;5;2;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;4;4;4;5;5;6;4;4;4;4;5;5;5;5;4;99;6;2;2;2;4;5;4;6;6;6;6;2;5;5;4;2;3;4;4;6;2;NA;6;5;5;6;5;3;6;6;4;6;5;5;4;5;5;5;1;2;6;5;5;5;5;5;4;5;NA;5;5;5;5;5;2;NA;3.7;366.666.666.666.667;433.333.333.333.333;333.333.333.333.333;5;366.666.666.666.667;4;5.2;NA
184;19794;1358;14/04/2020 17:32;PT-BR;24;Female;College degree, bachelor, master;PhD/Doctorate;Student;Brazil;no;São Paulo;Single;0;Yes;Isolated;1;0;NA;Program C;No;3;3;3;3;2;2;3;3;3;2;4;2;4;5;7;1;1;5;10;10;1;2;5;5;6;5;3;6;6;6;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;3;5;4;4;4;5;2;2;5;5;4;4;5;4;5;99;2;2;5;99;2;99;5;2;4;2;4;4;5;2;5;5;4;4;2;5;2;NA;5;6;6;5;6;6;6;6;5;6;4;1;6;1;6;4;5;5;6;6;2;6;6;6;1;6;NA;6;2;6;6;6;2;NA;2.9;333.333.333.333.333;333.333.333.333.333;4;366.666.666.666.667;5;4;5.7;NA
185;19796;1025;15/04/2020 17:24;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;4;0;Program A;NA;No;3;4;5;2;1;5;3;2;4;4;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.1;166.666.666.666.667;NA;NA;NA;NA;NA;NA;NA
186;19799;1242;14/04/2020 17:24;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;5;0;NA;Program D;No;2;3;3;3;1;3;4;2;2;2;1;2;3;5;9;4;7;6;6;9;7;5;6;5;5;4;4;6;6;6;2;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;6;6;2;3;6;4;3;6;5;2;6;4;5;5;99;6;99;5;1;2;99;4;4;6;6;6;3;4;99;3;4;4;4;6;6;1;NA;6;6;6;6;6;5;6;6;5;6;4;6;6;6;6;4;4;5;6;5;4;4;5;6;1;5;NA;6;5;6;4;5;1;NA;2.9;2;3;566.666.666.666.667;433.333.333.333.333;5;233.333.333.333.333;5.8;NA
187;19800;894;14/04/2020 17:15;PT-BR;25;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;Program A;NA;No;2;2;2;4;4;2;4;3;2;2;2;2;4;6;7;6;7;7;7;8;6;5;6;5;6;5;5;5;5;5;3;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;5;5;2;5;5;5;4;4;4;5;5;5;2;2;99;5;4;4;99;4;99;5;4;5;4;4;4;4;3;3;4;4;4;2;4;5;NA;5;5;5;5;5;5;5;5;5;5;4;4;4;3;5;5;5;5;5;4;4;4;4;5;3;4;NA;4;3;3;3;4;3;NA;2.1;266.666.666.666.667;3;5;5;366.666.666.666.667;4;5;NA
188;19801;1078;14/04/2020 17:16;PT-BR;22;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA;Program D;No;2;4;3;3;3;3;4;2;3;5;4;4;4;2;4;3;0;4;8;10;0;4;5;5;6;6;3;5;4;5;1;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;6;3;6;3;5;6;6;6;4;3;4;5;6;4;3;6;99;3;6;6;1;1;99;2;6;5;5;4;5;6;99;6;5;2;6;3;6;1;NA;6;6;5;6;6;5;6;6;6;6;1;5;6;6;6;2;4;4;4;2;2;1;4;5;1;1;NA;1;1;3;4;4;1;O governo do presidente brasileiro Jair Bolsonaro está agindo contra a população em uma empreitada necropolítica genocida;3.2;4;466.666.666.666.667;366.666.666.666.667;6;333.333.333.333.333;333.333.333.333.333;5.8;NA
189;19803;1069;14/04/2020 17:09;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;1;0;Program A;NA;Yes;4;4;5;2;2;5;3;1;4;4;4;3;4;6;8;2;2;5;6;9;1;5;6;5;5;6;0;5;5;6;5;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;2;5;5;2;4;4;4;3;5;5;2;4;5;2;5;99;5;2;6;1;5;99;5;5;6;6;6;5;5;3;5;5;5;2;2;5;1;NA;5;5;4;5;5;4;5;6;5;5;2;2;5;2;5;5;5;5;5;4;3;3;5;4;5;2;NA;2;5;4;5;1;1;NA;4.2;366.666.666.666.667;4;5;4;466.666.666.666.667;333.333.333.333.333;4.9;NA
190;19805;619;14/04/2020 17:02;PT-BR;23;Male;Some College, short continuing education or equivalent;Some College or equivalent;Part time employed;Brazil;no;Rio de janeiro;Single;0;Yes;Isolated;3;0;Program A;NA;No;3;3;4;4;3;4;4;2;3;3;1;2;2;8;8;7;7;6;7;7;4;3;6;5;6;6;5;6;6;6;2;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;5;5;4;5;4;4;2;2;4;5;3;5;5;5;5;99;5;5;5;1;6;99;5;5;6;6;5;5;5;5;5;5;5;5;5;6;3;NA;5;5;6;6;5;5;6;4;5;6;4;6;6;6;6;1;6;6;6;5;5;5;6;5;2;4;NA;5;3;5;5;6;3;Ju;3.1;166.666.666.666.667;233.333.333.333.333;366.666.666.666.667;333.333.333.333.333;466.666.666.666.667;333.333.333.333.333;5.3;NA
191;20951;2590;14/04/2020 06:47;PT-BR;24;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Student;Brazil;no;Rio Grande do Sul;Single;1;Yes;Isolated;3;0;NA;Program D;No;3;3;4;2;2;3;3;2;3;4;4;4;3;4;4;1;4;5;8;10;2;5;5;5;5;5;0;4;5;5;2;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;3;5;5;2;5;5;4;5;3;4;5;4;5;5;5;1;5;3;2;2;5;2;5;6;6;5;5;5;5;2;4;3;3;5;3;5;3;NA;5;4;4;4;4;4;4;5;4;5;2;2;5;2;5;4;2;2;4;3;4;2;5;4;4;2;NA;2;4;2;5;5;2;NA;3.5;366.666.666.666.667;433.333.333.333.333;5;466.666.666.666.667;3;433.333.333.333.333;4.3;NA
192;21589;924;13/04/2020 22:43;PT-BR;33;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;No;Isolated;3;1;Program B;NA;No;4;4;5;4;1;4;2;2;4;3;1;2;3;5;7;2;4;4;2;8;6;5;6;5;4;4;4;5;5;6;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;5;6;6;2;4;4;3;5;5;5;3;4;6;5;4;3;5;4;4;2;5;6;6;6;6;6;6;4;4;3;2;2;4;6;4;5;4;NA;5;6;6;6;5;5;6;6;5;6;5;5;5;5;5;6;6;6;6;5;3;6;5;6;5;6;NA;5;3;5;2;5;2;NA;3.9;2;333.333.333.333.333;566.666.666.666.667;366.666.666.666.667;4;4;5.6;NA
193;21648;828;13/04/2020 21:28;PT-BR;20;Female;Some College, short continuing education or equivalent;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Single;1;Yes;Isolated;3;0;Program A;NA;No;4;5;5;3;2;3;3;2;5;3;4;4;5;5;5;4;3;5;6;9;5;3;6;4;5;4;2;5;4;5;4;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;1;5;5;3;4;5;2;4;5;5;2;5;4;4;4;99;5;4;6;1;6;99;5;3;6;6;5;5;6;99;6;6;6;6;4;6;1;NA;6;6;6;6;6;4;6;6;4;6;4;2;6;2;6;3;4;4;6;5;3;5;3;5;2;6;NA;6;3;6;4;6;2;NA;3.9;433.333.333.333.333;466.666.666.666.667;466.666.666.666.667;366.666.666.666.667;433.333.333.333.333;266.666.666.666.667;5.6;NA
194;21698;1031;14/04/2020 19:00;PT-BR;67;Male;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Rj;Married/cohabiting;2;Yes;Life carries on with minor changes;2;0;NA;Program C;Yes;2;2;1;5;1;3;5;3;1;1;2;2;2;9;7;9;8;8;8;10;8;NA;NA;NA;NA;NA;1;5;5;5;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;3;6;5;3;4;5;5;4;5;4;5;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;366.666.666.666.667;5;466.666.666.666.667;4;466.666.666.666.667;NA;NA
195;21738;1328;13/04/2020 17:48;PT-BR;22;Female;Some College, short continuing education or equivalent;Some College or equivalent;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;1;0;NA;Program C;No;4;4;4;3;2;3;2;2;5;3;2;2;3;5;7;5;5;7;9;10;6;6;5;5;5;4;2;5;6;6;4;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;5;6;3;6;6;5;5;5;5;6;5;5;6;99;99;99;1;4;1;NA;4;99;1;2;6;6;5;99;4;5;2;5;6;6;3;5;1;NA;6;5;4;5;5;6;4;6;6;6;4;1;5;1;6;6;6;6;6;6;6;6;6;6;5;6;NA;6;5;5;5;6;1;NA;3.8;233.333.333.333.333;433.333.333.333.333;333.333.333.333.333;533.333.333.333.333;433.333.333.333.333;433.333.333.333.333;5.3;NA
196;21746;2968;14/04/2020 18:06;PT-BR;52;Female;College degree, bachelor, master;Up to 9 years of school;Part time employed;Brazil;no;S/C;Married/cohabiting;2;Yes;Life carries on with minor changes;5;NA;NA;NA;NA;NA;5;5;1;2;5;4;1;5;NA;1;1;5;5;5;0;4;5;5;5;0;6;6;6;6;6;0;6;6;6;6;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;1;3;2;5;1;5;6;1;3;6;3;1;4;3;3;5;6;1;6;6;3;1;1;4;4;4;6;1;3;1;1;1;3;1;1;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.5;233.333.333.333.333;6;233.333.333.333.333;4;5;433.333.333.333.333;NA;NA
197;21779;396;14/04/2020 16:38;PT-BR;22;Female;College degree, bachelor, master;Some College or equivalent;Not employed;Brazil;no;Mato Grosso do Sul;Single;0;Yes;Life carries on with minor changes;1;0;Program B;NA;No;4;5;5;2;2;5;2;2;5;5;4;3;3;3;3;2;0;3;6;6;0;3;5;5;6;6;0;5;2;3;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;2;5;3;5;4;4;5;3;5;4;5;5;6;6;6;4;6;6;6;6;6;1;6;5;5;6;6;6;3;6;4;6;6;6;6;6;3;We;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.5;333.333.333.333.333;333.333.333.333.333;333.333.333.333.333;433.333.333.333.333;433.333.333.333.333;433.333.333.333.333;NA;NA
198;21863;949;14/04/2020 15:30;PT-BR;70;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;NA;Rio de Janeiro;Married/cohabiting;1;NA;Isolated;1;NA;NA;NA;NA;2;3;2;5;4;1;5;3;NA;1;2;1;3;7;8;1;6;6;7;2;8;5;5;5;6;5;9;6;6;6;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;6;6;6;1;5;6;5;2;5;6;5;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;177.777.777.777.778;2;166.666.666.666.667;6;533.333.333.333.333;533.333.333.333.333;533.333.333.333.333;NA;NA
199;21916;648;14/04/2020 14:51;PT-BR;83;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;no;NA;Single;1;Yes;Isolated;2;0;NA;NA;NA;2;3;3;4;4;2;4;4;2;2;5;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.2;333.333.333.333.333;NA;NA;NA;NA;NA;NA;NA
200;21999;1098;13/04/2020 14:25;PT-BR;51;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;Program B;NA;No;4;3;3;3;2;3;3;2;5;3;1;3;2;8;9;8;8;7;7;8;9;NA;NA;NA;NA;NA;9;6;5;6;2;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;5;5;4;4;5;6;6;1;5;6;6;2;6;6;5;99;5;1;3;1;6;99;6;6;5;6;4;5;4;1;5;5;3;4;1;5;5;NA;6;6;6;6;5;6;6;6;6;4;6;4;6;5;6;6;1;1;6;6;5;5;6;6;6;6;NA;3;2;2;5;5;5;NA;3.5;2;266.666.666.666.667;4;566.666.666.666.667;566.666.666.666.667;566.666.666.666.667;5.7;NA
201;22119;630;14/04/2020 13:29;EN;45;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;yes;Parana;Married/cohabiting;2;Not sure;Isolated;1;2;NA;Program C;No;3;3;4;4;3;2;4;3;2;2;4;2;3;7;7;0;4;0;4;0;5;5;5;5;5;5;5;5;6;6;5;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;6;5;6;1;6;3;6;4;6;6;4;4;6;4;2;4;3;2;1;1;3;2;6;5;6;5;6;1;1;1;3;5;1;5;1;2;6;NA;5;5;5;5;5;5;5;5;5;5;2;5;3;4;5;5;5;5;5;5;5;5;5;5;1;2;NA;2;5;6;2;3;1;NA;2.6;3;166.666.666.666.667;566.666.666.666.667;5;5;433.333.333.333.333;5;NA
202;22205;657;14/04/2020 12:54;PT-BR;60;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;RJ;Married/cohabiting;0;Yes;Isolated;1;0;NA;Program D;No;1;3;3;5;2;5;3;5;5;2;NA;1;4;6;8;9;7;5;4;8;9;5;5;5;3;5;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8;2.5;NA;NA;NA;NA;NA;NA;NA
203;22297;463;14/04/2020 12:13;PT-BR;24;Female;Some College, short continuing education or equivalent;College degree;Self-employed;Brazil;no;PB;Single;0;Yes;Isolated;3;0;Program A;NA;No;3;3;3;1;1;3;3;1;3;3;3;3;3;NA;NA;NA;5;8;7;10;NA;6;6;4;6;6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.6;3;NA;NA;NA;NA;NA;NA;NA
204;22607;795;13/04/2020 09:52;PT-BR;24;Female;College degree, bachelor, master;College degree;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;Program A;NA;No;5;3;5;3;2;5;2;2;5;3;4;5;4;7;7;0;4;7;8;9;0;6;6;6;6;6;0;6;6;6;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;1;5;5;2;4;4;6;5;4;6;4;5;4;4;4;99;5;5;5;2;3;99;6;6;6;6;4;5;5;3;6;4;2;5;1;6;2;NA;6;6;5;6;6;6;6;6;6;6;1;4;6;2;5;5;4;3;5;5;5;3;5;5;4;5;NA;3;3;3;3;4;2;NA;4.1;433.333.333.333.333;6;5;466.666.666.666.667;4;333.333.333.333.333;5.9;NA
205;22617;2195;14/04/2020 10:13;PT-BR;59;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Not employed;Brazil;no;Rj;Married/cohabiting;3;Yes;Life carries on with minor changes;3;19;NA;NA;NA;2;4;3;3;3;2;3;3;4;3;1;1;4;3;3;0;8;5;5;5;0;6;5;5;4;6;3;5;6;5;5;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;1;5;5;5;4;5;2;3;5;5;2;2;5;3;6;5;5;4;4;3;99;4;5;4;5;2;6;2;3;3;5;5;5;4;3;5;5;Pssso o tempo todo junto com meu marido;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;533.333.333.333.333;4;366.666.666.666.667;466.666.666.666.667;4;NA;NA
206;22692;1189;14/04/2020 09:25;PT-BR;63;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;NA;No;Isolated in medical facility of similar location;0;NA;Program A;NA;Yes;5;3;4;4;1;5;4;2;3;3;5;1;5;8;8;0;4;1;0;0;1;5;NA;NA;NA;NA;4;5;5;5;2;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;5;6;NA;5;5;5;5;2;5;5;4;2;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.6;366.666.666.666.667;3;4;5;5;466.666.666.666.667;NA;NA
207;22724;1535;13/04/2020 09:18;PT-BR;80;Female;Some College, short continuing education or equivalent;Some College or equivalent;Retired;Brazil;no;Niteroii- RJ;Other or would rather not say;1;Yes;Life carries on as usual;1;0;NA;NA;NA;1;5;2;4;1;1;4;4;1;1;1;1;4;NA;4;4;9;5;6;6;3;5;5;NA;NA;NA;4;6;6;6;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;5;6;6;2;5;4;2;2;5;5;4;2;5;5;5;5;NA;4;2;2;1;NA;5;5;6;5;5;4;2;2;3;6;2;5;5;5;4;NA;5;5;NA;5;5;5;5;5;5;5;3;5;5;5;5;NA;3;5;5;NA;5;5;5;5;5;5;NA;4;4;5;4;3;5;NA;2.2;2;2;566.666.666.666.667;366.666.666.666.667;5;466.666.666.666.667;5;NA
